"Process Path","Work Pool","ExSD","Quantity"
"PPSingleMedium","ManifestPending","2022-12-01 14:15","26"
"PPSingleMedium","ManifestPending","2022-11-29 14:15","5"
"PPMultiMedium","ProblemSolving","2022-11-30 18:45","6"
"PPSingleMedium","PickingNotYetPickedNotPrioritized","2022-12-01 18:45","1"
"PPMultiMedium","ReadyToPickNonPickable","2022-12-01 03:30","16"
"PPMultiMedium","PickingPickedAtDestination","2022-11-30 19:45","12"
"PPSingleMedium","PickingNotYetPicked","2022-11-30 14:30","250"
"PPMultiMedium","PickingNotYetPickedPrioritized","2022-11-30 19:15","14"
"PPSingleMedium","PickingNotYetPickedNonPickable","2022-11-30 23:00","14"
"PPSingleMedium","PickingPickedAtDestination","2022-12-01 14:30","1"
"PPMultiWrap","ReadyToPick","2022-12-01 02:30","1"
"PPMultiMedium","Sorted","2022-11-30 19:45","56"
"PPSingleMedium","PickingNotYetPickedPrioritized","2022-12-01 10:45","346"
"PPMultiMedium","PickingNotYetPickedPrioritized","2022-12-01 19:45","10"
"PPMultiWrap","ReadyToPickUnconstrained","2022-11-30 14:30","10"
"PPNonCon","PickingNotYetPicked","2022-11-30 19:45","1"
"PPMultiWrap","ReadyToPick","2022-11-30 23:00","2"
"PPMultiWrap","ReadyToPickUnconstrained","2022-12-01 18:45","3"
"PPMultiMedium","ReadyToPickNonPickable","2022-12-01 23:30","110"
"PPSingleMedium","ManifestPending","2022-12-01 03:30","1316"
"PPSingleMedium","PickingPickedInProgress","2022-11-30 19:45","1"
"PPMultiMedium","ReadyToPickUnconstrained","2022-12-01 19:45","18"
"PPMultiMedium","ReadyToPickNonPickable","2022-12-01 10:45","48"
"PPMultiMedium","ManifestPending","2022-12-01 03:30","12"
"PPMultiMedium","ReadyToPickNonPickable","2022-12-01 23:00","32"
"PPSingleMedium","PickingNotYetPickedPrioritized","2022-12-01 02:30","15"
"PPSingleMedium","PickingPickedAtDestination","2022-12-01 06:45","15"
"PPSingleMedium","PickingNotYetPicked","2022-12-01 06:45","333"
"PPMultiMedium","ProblemSolving","2022-11-30 19:45","5"
"PPSingleMedium","PickingNotYetPickedNotPrioritized","2022-12-01 02:30","7"
"PPMultiMedium","RebinBuffered","2022-11-30 23:30","40"
"PPSingleMedium","PickingNotYetPickedPrioritized","2022-11-30 19:45","139"
"PPSingleMedium","PickingPicked","2022-12-01 03:30","71"
"PPMultiMedium","ProblemSolving","2022-12-01 14:30","2"
"PPMultiMedium","ReadyToPick","2022-11-30 19:15","10"
"PPSingleMedium","PickingPickedInTransit","2022-12-01 10:45","2"
"PPNonCon","PickingNotYetPickedPrioritized","2022-11-30 14:30","2"
"PPSingleMedium","PickingNotYetPickedPrioritized","2022-12-01 23:30","4"
"PPMultiWrap","ReadyToPickNonPickable","2022-12-01 02:30","1"
"PPMultiMedium","ReadyToPickNonPickable","2022-11-30 14:30","2"
"PPMultiMedium","ReadyToPick","2022-12-01 10:45","223"
"PPNonCon","PickingNotYetPickedNonPickable","2022-12-01 23:30","7"
"PPSingleMedium","PickingNotYetPickedNonPickable","2022-11-30 18:45","12"
"PPMultiWrap","ManifestPending","2022-11-30 19:15","1"
"PPMultiMedium","PickingNotYetPicked","2022-11-30 18:45","45"
"PPSingleMedium","Scanned","2022-11-30 14:30","1"
"PPSingleMedium","PickingNotYetPickedNotPrioritized","2022-12-01 10:45","1062"
"PPMultiWrap","ReadyToPickNonPickable","2022-12-01 10:45","2"
"PPSingleMedium","PickingPickedAtDestination","2022-12-01 19:15","1"
"PPSingleMedium","PickingPicked","2022-11-30 19:15","10"
"PPSingleMedium","PickingPickedInProgress","2022-11-30 18:45","3"
"PPNonConTeamLift","ManifestPending","2022-11-30 18:45","1"
"PPNonCon","ManifestPending","2022-11-30 14:30","14"
"PPSingleMedium","PickingPicked","2022-12-01 10:45","103"
"PPSingleMedium","ProblemSolving","2022-11-30 23:30","1"
"PPSingleMedium","PickingPickedAtDestination","2022-11-30 23:30","36"
"PPMultiMedium","Sorted","2022-12-01 14:30","14"
"PPMultiMedium","ReadyToPickUnconstrained","2022-12-01 06:45","47"
"PPMultiMedium","PickingNotYetPicked","2022-11-30 23:00","24"
"PPSingleMedium","PickingPickedInTransit","2022-12-01 03:30","1"
"PPMultiMedium","Sorted","2022-11-30 18:45","60"
"PPMultiMedium","ReadyToPick","2022-12-01 02:30","18"
